id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage,volume_marketcap_ratio,high_low_range_pct,has_max_supply,circulating_supply_ratio,dist_ath_pct,label
aster-2,aster,Aster,0.616437,1650461869,49,4822196033,106735943.0,0.638975,0.615112,-0.0188459853172985,-2.96655,13395168.0,0.81824,2677260279.249776,7822218820.515041,8000000000.0,2.41,-74.40829,0.099713,518.208,0.06467034774009675,3.879456099051875,1,0.33465753490622197,-74.40829,baixa
polkadot,dot,Polkadot,0.949035,1601726174,50,1601727606,86011955.0,0.991618,0.950737,-0.0281782266433545,-2.88353,-51303565.800981045,-3.10361,1687742756.120155,1687744264.679009,2100000000.0,54.98,-98.27086,0.892875,6.47199,0.05369953765892571,4.299927319542623,1,0.8036870267238834,-98.27086,lateral
htx-dao,htx,HTX DAO,1.72e-06,1553594956,51,1553594956,53006324.0,1.76e-06,1.72e-06,-3.7882596759e-08,-2.16088,-34206301.7967608,-2.15432,905707664073577.8,905707664073577.8,999990000000000.0,3.75e-06,-54.17992,8.00816e-07,114.64838,0.03411849645577763,2.3255813953488396,1,0.9057167212407902,-54.17992,lateral
uniswap,uni,Uniswap,2.47,1536722965,52,2208595293,129320889.0,2.6,2.46,-0.0857867627583224,-3.35802,-56326798.4219408,-3.53578,622433561.5538775,894568420.0329479,1000000000.0,44.92,-94.50097,1.03,139.77153,0.08415367762789958,5.691056910569111,1,0.6224335615538775,-94.50097,baixa
okb,okb,OKB,71.08,1492766795,53,1492766795,13213232.0,74.29,71.06,-1.777083636232831,-2.43922,-37393991.39407873,-2.44379,21000000.0,21000000.0,21000000.0,228.74,-68.88336,0.580608,12158.87856,0.008851504497726988,4.545454545454551,1,1.0,-68.88336,lateral
falcon-finance,usdf,Falcon USD,0.994817,1459205866,54,1459205866,1411103.0,0.996318,0.994609,-0.0010728413881895,-0.10773,-1515172.9761826992,-0.10373,1466852758.368215,1466852758.368215,,1.075,-7.42589,0.943422,5.44429,0.000967034900886288,0.17182631566777212,0,0.0,-7.42589,alta
pi-network,pi,Pi Network,0.127716,1366609352,55,2102475926,9020243.0,0.130616,0.127504,-0.001698316394214,-1.31231,-15702813.788954971,-1.13598,10691997303.67658,16449226621.04089,100000000000.0,2.99,-95.72343,0.118869,7.48607,0.0066004546118458,2.440707742502199,1,0.1069199730367658,-95.72343,lateral
audiera,beat,Audiera,4.65,1355020720,56,4704660807,55037227.0,4.78,3.41,0.451538,10.76051,139269488.0,11.45543,288016666.0,1000000000.0,1000000000.0,4.91,-4.10716,0.067925,6826.30379,0.0406172586054625,40.17595307917889,1,0.288016666,-4.10716,alta
usdd,usdd,USDD,0.999394,1344349911,57,1354585521,32631162.0,1.0,0.999213,-0.0002042861275256,-0.02044,-17307858.192522764,-1.27109,1345154316.0,1355396050.0,,1.052,-4.96766,0.928067,7.70433,0.02427281895360649,0.07876198568273052,0,0.0,-4.96766,alta
bfusd,bfusd,BFUSD,0.9989,1318548430,58,1318548430,2888422.0,0.999199,0.998601,0.00019959,0.01999,263456.0,0.01998,1320000000.0,1320000000.0,,1.007,-0.7969,0.997035,0.18711,0.0021906074394248834,0.05988377740458776,0,0.0,-0.7969,alta
sky,sky,Sky,0.055658,1295345584,59,1305874796,8688998.0,0.058948,0.055661,-0.0025639873382863,-4.40385,-59435036.04049492,-4.38706,23273486685.85808,23462665147.36596,23462665147.3,0.100535,-44.56172,0.03582727,55.56585,0.006707860903936196,5.905391566806198,1,0.9919370429465603,-44.56172,baixa
internet-computer,icp,Internet Computer,2.28,1260929711,60,1260929711,45301028.0,2.4,2.26,-0.0991371288892559,-4.1723,-51290650.63769436,-3.90869,553414679.5616673,553414679.5616673,,700.65,-99.67488,2.02,12.85253,0.03592668774857665,6.194690265486732,0,0.0,-99.67488,baixa
bitget-token,bgb,Bitget Token,1.8,1259827507,61,1644869813,14507718.0,1.84,1.8,-0.0308034523876672,-1.68272,-21652057.43248725,-1.68961,699992029.6481038,913931274.6481038,2000000000.0,8.45,-78.71031,0.0142795,12498.81118,0.011515638386517623,2.222222222222224,1,0.3499960148240519,-78.71031,lateral
morpho,morpho,Morpho,1.82,1176894098,62,1821302629,32451363.0,1.97,1.75,-0.1057602782328812,-5.50065,-57606754.77206564,-4.6664,646182616.538719,1000000000.0,1000000000.0,4.17,-56.28555,0.713151,155.64811,0.027573732466793288,12.57142857142857,1,0.6461826165387191,-56.28555,baixa
pepe,pepe,Pepe,2.74e-06,1154649921,63,1154649921,164758294.0,2.86e-06,2.74e-06,-9.0469477123e-08,-3.19407,-33338945.259473085,-2.80633,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-90.21718,5.5142e-08,4872.48668,0.14269112308716816,4.379562043795625,1,1.0,-90.21718,baixa
ethereum-classic,etc,Ethereum Classic,6.94,1087535745,64,1087535745,31277840.0,7.2,6.94,-0.2081147550940363,-2.91134,-32213174.289998293,-2.87682,156559601.6228963,156559601.6228963,210700000.0,167.09,-95.84331,0.615038,1029.23559,0.02876028686303088,3.7463976945244926,1,0.7430450955049659,-95.84331,lateral
usdtb,usdtb,USDtb,0.999672,1008935691,66,1008935691,1994132.0,1.003,0.999499,-0.0027260923184737,-0.27196,-1277038.115101576,-0.12641,1009078381.546182,1009078381.546182,,1.057,-5.4124,0.900502,11.02763,0.001976470867061437,0.35027548801948427,0,0.0,-5.4124,alta
dexe,dexe,DeXe,21.58,1008928323,65,2082675353,21492214.0,23.24,21.36,-1.662857745666333,-7.15394,-79620659.08349705,-7.31438,46750552.58384035,96504599.33609451,,32.38,-33.40358,0.671563,3111.09827,0.021302022661128128,8.80149812734082,0,0.0,-33.40358,baixa
united-stables,u,United Stables,0.999795,999563551,67,999563551,4798146.0,1.0,0.999603,-0.0003032958332022,-0.03033,-195882.86416971684,-0.01959,999858683.01,999858683.01,,1.008,-0.80118,0.968158,3.25842,0.004800241060410575,0.03971576715956041,0,0.0,-0.80118,alta
eutbl,eutbl,Spiko EU T-Bills Money Market Fund,1.22,984368057,68,984368057,0.0,1.22,1.21,0.00292754,0.24104,-18563382.9238106,-1.85091,808547209.23172,808547209.23172,,1.26,-3.41127,1.011,20.48235,0.0,0.8264462809917362,0,0.0,-3.41127,alta
blockchain-capital,bcap,Blockchain Capital,106.96,974631393,69,974631393,0.0,107.06,106.96,-0.1000000000000085,-0.09341,-911211.1000000238,-0.09341,9112111.0,9112111.0,,107.16,-0.18664,17.76,502.25225,0.0,0.09349289454002294,0,0.0,-0.18664,alta
quant-network,qnt,Quant,65.01,945888616,70,950331639,14675260.0,68.81,65.04,-3.545623660167877,-5.17205,-50883980.795139074,-5.10487,14544176.164081177,14612493.0,14612493.0,427.42,-84.77321,0.215773,30062.54122,0.01551478657398283,5.796432964329637,1,0.9953247651910716,-84.77321,baixa
superstate-short-duration-us-government-securities-fund-ustb,ustb,Invesco Short Duration US Government Securities Fund,11.11,926929309,71,926729318,0.0,11.11,11.11,0.002986,0.02689,-32873196.33767259,-3.425,83441496.769895,83423493.769895,,11.11,0.0,10.29,7.94867,0.0,0.0,0,0.0,0.0,alta
aave,aave,Aave,60.83,923362457,72,973246712,135791636.0,65.01,60.87,-3.5386421374148043,-5.49769,-54333269.367767215,-5.55728,15179911.874935385,16000000.0,16000000.0,661.69,-90.80125,26.02,133.89637,0.1470621151754278,6.80137999014294,1,0.9487444921834616,-90.80125,baixa
cosmos,atom,Cosmos Hub,1.74,891305583,73,891309937,28769640.0,1.8,1.73,-0.0252509730134886,-1.43368,-12072941.231882334,-1.33642,513136604.170564,513139111.013632,,43.84,-96.04344,1.16,49.54115,0.03227808795179509,4.046242774566478,0,0.0,-96.04344,lateral
janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,1.11,865742914,74,865742914,0.0,1.11,1.11,0.000102,0.00922,79850.0,0.00922,782845097.991187,782845097.991187,,1.11,0.0,1.085,1.94714,0.0,0.0,0,0.0,0.0,alta
siren-2,siren,Siren,1.15,856714369,75,856714369,29829505.0,1.3,1.14,-0.0336368296048386,-2.84542,-8575011.215937376,-0.991,725866269.3959075,725866269.3959075,1000000000.0,3.61,-68.22223,0.02634736,4248.1398,0.03481849503098506,14.035087719298259,1,0.7258662693959075,-68.22223,lateral
kucoin-shares,kcs,KuCoin,6.31,849899704,76,897237320,2803351.0,6.57,6.31,-0.1924891785712432,-2.96039,-24420730.95816493,-2.79311,134655021.7355671,142155021.7355671,,28.83,-78.07476,0.342863,1743.59973,0.003298449201483661,4.120443740095099,0,0.0,-78.07476,lateral
kaspa,kas,Kaspa,0.03084602,847905746,77,847973367,17377147.0,0.03284535,0.03079987,-0.0017671582312731,-5.41854,-46314389.490444064,-5.17931,27495108539.94101,27497301304.63212,28704026601.0,0.207411,-85.06512,0.00017105,18009.71132,0.020494196533018896,6.641196862194556,1,0.9578833284311103,-85.06512,baixa
render-token,render,Render,1.6,830996230,78,854641160,64424403.0,1.69,1.59,-0.0802889714426096,-4.77277,-39053006.78170359,-4.4886,518743261.0140742,533503434.2940742,644245094.0,13.53,-88.13323,0.03665669,4281.54859,0.07752670911635784,6.28930817610062,1,0.8051955161866925,-88.13323,baixa
algorand,algo,Algorand,0.089738,800501795,79,800537628,35403421.0,0.095751,0.089466,-0.0051688648529234,-5.44628,-44728086.15826142,-5.29183,8923788457.65998,8924187913.583918,10000000000.0,3.56,-97.48797,0.080092,11.69266,0.04422653543206608,7.025015089531217,1,0.8923788457659981,-97.48797,baixa
polygon-ecosystem-token,pol,POL (ex-MATIC),0.07472,796717490,80,796717490,38124975.0,0.081075,0.074692,-0.0058799765643758,-7.29529,-62134377.9484098,-7.23459,10657867862.48541,10657867862.48541,,1.29,-94.19786,0.071288,4.79478,0.047852564401466825,8.545761259572645,0,0.0,-94.19786,baixa
